,Match_Winner,HT_buildUpPlaySpeed,HT_buildUpPlayDribbling,HT_buildUpPlayPassing,HT_chanceCreationPassing,HT_chanceCreationCrossing,HT_chanceCreationShooting,HT_defencePressure,HT_defenceAggression,HT_defenceTeamWidth,AT_buildUpPlaySpeed,AT_buildUpPlayDribbling,AT_buildUpPlayPassing,AT_chanceCreationPassing,AT_chanceCreationCrossing,AT_chanceCreationShooting,AT_defencePressure,AT_defenceAggression,AT_defenceTeamWidth
1107,1,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1108,1,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0
1109,0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0
1110,1,67.0,61.0,43.0,56.0,51.0,49.0,39.0,47.0,48.0,49.0,56.0,53.0,52.0,34.0,57.0,36.0,52.0,49.0
1111,0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0
1112,1,45.0,65.0,42.0,68.0,52.0,49.0,59.0,42.0,48.0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0
1113,0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,64.0,52.0,49.0,49.0,53.0,34.0,46.0,44.0,49.0
1114,1,52.0,58.0,47.0,48.0,49.0,52.0,53.0,56.0,48.0,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0
1115,0,63.0,53.0,48.0,52.0,55.0,49.0,47.0,51.0,54.0,52.0,68.0,48.0,37.0,37.0,37.0,35.0,34.0,51.0
1116,0,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0,38.0,49.0,36.0,49.0,55.0,51.0,37.0,33.0,49.0
1117,0,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0
1118,1,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0
1119,0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0
1120,0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0
1121,1,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0
1122,0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0
1123,1,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0
1124,1,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0
1125,1,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0
1126,0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0
1127,1,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1128,0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0
1129,0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0
1130,1,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0
1131,1,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0
1132,0,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0
1133,1,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0
1134,0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0
1135,0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0
1136,1,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0
1137,1,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0
1138,0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0
1139,1,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0
1140,1,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0
1141,1,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0
1142,0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1143,1,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0
1144,0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0
1145,1,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0
